alg,score,mad,params_json
nsvr,2.1236703131216643,0.06748560763702417,"{""C"": 10.0, ""gamma"": 0.01, ""kernel"": ""rbf"", ""shrinking"": true}"
lsvr,2.1533255015662043,0.12915447033491986,"{""C"": 1.0, ""dual"": false, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_epsilon_insensitive""}"
lsvr,5.834999202435641,0.11484731331462109,"{""C"": 0.001, ""dual"": false, ""epsilon"": 0, ""fit_intercept"": false, ""intercept_scaling"": 1, ""loss"": ""squared_epsilon_insensitive""}"
lsvr,3.141518899105644,0.46137758544607743,"{""C"": 100.0, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_epsilon_insensitive""}"
lsvr,2.1296358877784165,0.05675409713783086,"{""C"": 0.1, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""epsilon_insensitive""}"
lsvr,6.234265599962251,0.34208681419227777,"{""C"": 1.0, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": false, ""intercept_scaling"": 1.6, ""loss"": ""squared_epsilon_insensitive""}"
lsvr,5.827598341296785,0.12005067689842754,"{""C"": 0.001, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": false, ""intercept_scaling"": 1, ""loss"": ""squared_epsilon_insensitive""}"
lsvr,2.1519069147436887,0.07775590516845926,"{""C"": 1.0, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 0.6, ""loss"": ""squared_epsilon_insensitive""}"
lsvr,2.160876162640249,0.14912632539930537,"{""C"": 10.0, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""epsilon_insensitive""}"
lsvr,2.1328412386272952,0.07630961301216428,"{""C"": 1.0, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""epsilon_insensitive""}"
lsvr,6.855583501858331,0.7987030126649234,"{""C"": 1.0, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": false, ""intercept_scaling"": 1, ""loss"": ""epsilon_insensitive""}"
lsvr,2.1320888143834784,0.07832880862867203,"{""C"": 0.1, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 1.6, ""loss"": ""epsilon_insensitive""}"
lsvr,2.1436458844728135,0.0331926694045286,"{""C"": 0.01, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_epsilon_insensitive""}"
lsvr,2.127268668250294,0.06660079562730464,"{""C"": 1.0, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": true, ""intercept_scaling"": 0.6, ""loss"": ""epsilon_insensitive""}"
lsvr,7.3613121295748085,0.6727502117910255,"{""C"": 1.0, ""dual"": true, ""epsilon"": 0, ""fit_intercept"": false, ""intercept_scaling"": 1.3, ""loss"": ""epsilon_insensitive""}"
